id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Elena;Rangel;Lola.Iglesias75@yahoo.com;repurpose withdrawal;2021-04-03T20:47:29;71697;45464
2;Gerardo;Ordóñez;ngela.Echevarra@gmail.com;withdrawal;2021-04-04T00:44:21;75289;21024
3;Teresa;Sauceda;Agustn.Correa@gmail.com;Sorprendente;2021-04-03T09:47:45;71090;65309
4;Cristina;Collazo;Andrs.Estrada@hotmail.com;reinvent orchestrate;2021-04-03T05:17:22;52820;82484
5;Caridad;Echevarría;Mariano14@hotmail.com;mobile Algodón;2021-04-03T23:55:16;13439;33970
6;Alfonso;Bañuelos;Nicols.Pacheco73@gmail.com;Indonesia herramientas;2021-04-03T08:41:28;64329;13556
7;Jorge Luis;Botello;Caridad72@yahoo.com;Descentralizado rich;2021-04-03T11:11:36;54588;45928
8;Homero;Verduzco;Esteban8@yahoo.com;payment Canarias;2021-04-04T01:15:00;3244;21747
9;Florencia;Sedillo;Santiago_Bustamante98@hotmail.com;Negro;2021-04-03T16:35:39;90189;81327
10;Agustín;Rael;Felipe79@gmail.com;Mesa Andalucía Checking;2021-04-03T05:15:49;32637;8639
